policy_name,labels,compliance_framework,compliance_requirement,compliance_section,status
"EFS Access Points are not enforcing a root directory","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS Certificate Manager (ACM) RSA certificate key length less than 2048","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS account security contact information is not set","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS API Gateway REST API execution logging disabled","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"API Gateway does not have X-Ray tracing enabled","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"Public API gateway not configured with AWS Web Application Firewall v2 (AWS WAFv2)","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS API Gateway REST API not configured with AWS Web Application Firewall v2 (AWS WAFv2)","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS API Gateway V2 has Access Logging is disabled","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS API Gateway caching is disabled","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"API Gateway method setting is not set to encrypted caching","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS API Gateway method settings do not enable caching","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS API gateway request authorisation is not set","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS AppSync has field-level logging disabled","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS AppSync GraphQL API is authenticated with API key","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"Auto scaling groups associated with a load balancer do not use elastic load balancing health checks","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure access management",true
"AWS Classic Load Balancer not configured to span multiple Availability Zones","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure access management",true
"AWS EC2 instance not configured with Instance Metadata Service v2 (IMDSv2)","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure access management",true
"AWS Auto Scaling group launch configuration not configured with Instance Metadata Service v2 (IMDSv2)","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure access management",true
"AWS Auto Scaling group launch configuration has public IP address assignment enabled","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure access management",true
"EC2 Auto Scaling groups are not utilizing EC2 launch templates","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure access management",true
"AWS replicated backups are not encrypted at rest by Key Management Service (KMS) using a Customer Managed Key (CMK)","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS CloudFront distributions does not have a default root object configured","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS CloudFront origin protocol policy does not enforce HTTPS-only","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
"AWS CloudFront response header policy does not enforce Strict Transport Security","FSBP","AWS Foundational Security Best Practices standard","Protect","Secure network configuration",true
