fsbp_policy_name,prisma_cloud_policy_name,compliance_requirement,compliance_section
"Account.1 Security contact information should be provided for an AWS account","AWS account security contact information is not set","Protect","Secure access management"
"ACM.1 Imported and ACM-issued certificates should be renewed after a specified time period","AWS Certificate Manager (ACM) has certificates expiring in 30 days or less","Protect","Data protection"
"ACM.2 RSA certificates managed by ACM should use a key length of at least 2,048 bits","AWS Certificate Manager (ACM) RSA certificate key length less than 2048","Protect","Data protection"
"APIGateway.1 API Gateway REST and WebSocket API execution logging should be enabled","AWS API Gateway REST API execution logging disabled","Identify","Logging"
"APIGateway.4 API Gateway should be associated with a WAF Web ACL","AWS API Gateway REST API not configured with AWS Web Application Firewall v2 (AWS WAFv2)","Protect","API protection"
"APIGateway.8 API Gateway routes should specify an authorization type","AWS API gateway request authorisation is not set","Protect","Secure access management"
"AppSync.2 AWS AppSync should have field-level logging enabled","AWS AppSync has field-level logging disabled","Identify","Logging"
"AppSync.5 AWS AppSync GraphQL APIs should not be authenticated with API keys","AWS AppSync GraphQL API is authenticated with API key","Protect","Secure access management"
"AutoScaling.3 Auto Scaling group launch configurations should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2)","AWS Auto Scaling group launch configuration not configured with Instance Metadata Service v2 (IMDSv2)","Protect","Secure development"
"Autoscaling.5 Amazon EC2 instances launched using Auto Scaling group launch configurations should not have Public IP addresses","AWS Auto Scaling group launch configuration has public IP address assignment enabled","Protect","Secure network configuration"
"CloudFront.1 CloudFront distributions should have a default root object configured","AWS CloudFront distributions does not have a default root object configured","Protect","Secure network configuration"
"CloudFront.3 CloudFront distributions should require encryption in transit","AWS CloudFront viewer protocol policy is not configured with HTTPS","Protect","Secure network configuration"
"CloudFront.5 CloudFront distributions should have logging enabled","AWS CloudFront distribution with access logging disabled","Identify","Logging"
"CloudFront.6 CloudFront distributions should have WAF enabled","AWS CloudFront web distribution with AWS Web Application Firewall (AWS WAF) service disabled","Protect","API protection"
"CloudFront.7 CloudFront distributions should use custom SSL/TLS certificates","AWS CloudFront web distribution with default SSL certificate","Protect","Data protection"
"CloudFront.9 CloudFront distributions should encrypt traffic to custom origins","AWS CloudFront origin protocol policy does not enforce HTTPS-only","Protect","Secure network configuration"
"CloudFront.10 CloudFront distributions should not use deprecated SSL protocols between edge locations and custom origins","AWS CloudFront distribution is using insecure SSL protocols for HTTPS communication","Protect","Secure network configuration"
"CloudFront.13 CloudFront distributions should use origin access control","AWS Cloudfront Distribution with S3 have Origin Access set to disabled","Protect","Secure network configuration"
"CloudTrail.1 CloudTrail should be enabled and configured with at least one multi-Region trail that includes read and write management events","AWS CloudTrail is not enabled on the account; AWS CloudTrail logging is disabled; AWS CloudTrail is not enabled with multi trail and not capturing all management events","Identify","Logging"
"CloudTrail.2 CloudTrail should have encryption at-rest enabled","AWS CloudTrail logs are not encrypted using Customer Master Keys (CMKs)","Protect","Data protection"
"CloudTrail.4 CloudTrail log file validation should be enabled","AWS CloudTrail log validation is not enabled in all regions","Identify","Logging"
"CloudTrail.5 CloudTrail trails should be integrated with Amazon CloudWatch Logs","AWS CloudTrail trail logs is not integrated with CloudWatch Log; AWS CloudTrail logs should integrate with CloudWatch for all regions","Identify","Logging"
"CodeBuild.1 CodeBuild Bitbucket source repository URLs should not contain sensitive credentials","AWS CodeBuild project environment variables contain plaintext AWS credentials","Protect","Data protection"
"CodeBuild.2 CodeBuild project environment variables should not contain clear text credentials","AWS CodeBuild project environment variables contain plaintext AWS credentials","Protect","Data protection"
"CodeBuild.4 CodeBuild project environments should have a logging AWS Configuration","AWS CodeBuild project not configured with logging configuration","Identify","Logging"
"Config.1 AWS Config should be enabled and use the service-linked role for resource recording","AWS Config Recording is disabled","Identify","Inventory"
"DataFirehose.1 Firehose delivery streams should be encrypted at rest","AWS Kinesis Firehose with Direct PUT as source has SSE encryption disabled","Protect","Data protection"
"DMS.1 Database Migration Service replication instances should not be public","AWS DMS replication instance is publicly accessible","Protect","Secure network configuration"
"DMS.6 DMS replication instances should have automatic minor version upgrade enabled","AWS DMS replication instance automatic version upgrade disabled","Protect","Secure development"
"DMS.7 DMS replication tasks for the target database should have logging enabled","AWS DMS replication task for the target database have logging not set to the minimum severity level","Identify","Logging"
"DMS.8 DMS replication tasks for the source database should have logging enabled","AWS DMS replication task for the source database have logging not set to the minimum severity level","Identify","Logging"
"DocumentDB.2 Amazon DocumentDB clusters should have an adequate backup retention period","AWS DocumentDB clusters have backup retention period less than 7 days","Protect","Data protection"
"DocumentDB.4 Amazon DocumentDB clusters should publish audit logs to CloudWatch Logs","AWS DocumentDB cluster does not publish audit logs to CloudWatch Logs","Identify","Logging"
"ECR.2 ECR private repositories should have tag immutability configured","AWS ECR private repository tag mutable","Protect","Secure development"
