policy_name,labels,compliance_framework,compliance_requirement,compliance_section,status
"""AWS account security contact information is not set""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Secure access management""",true
"""AWS Certificate Manager (ACM) has certificates expiring in 30 days or less""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Data protection""",true
"""AWS Certificate Manager (ACM) RSA certificate key length less than 2048""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Data protection""",true
"""AWS API Gateway REST API execution logging disabled""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Identify""","""Logging""",true
"""AWS API Gateway REST API not configured with AWS Web Application Firewall v2 (AWS WAFv2)""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""API protection""",true
"""AWS API gateway request authorisation is not set""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Secure access management""",true
"""AWS AppSync has field-level logging disabled""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Identify""","""Logging""",true
"""AWS AppSync GraphQL API is authenticated with API key""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Secure access management""",true
"""AWS Auto Scaling group launch configuration not configured with Instance Metadata Service v2 (IMDSv2)""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Secure development""",true
"""AWS Auto Scaling group launch configuration has public IP address assignment enabled""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Secure network configuration""",true
"""AWS CloudFront distributions does not have a default root object configured""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Secure network configuration""",true
"""AWS CloudFront viewer protocol policy is not configured with HTTPS""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Secure network configuration""",true
"""AWS CloudFront distribution with access logging disabled""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Identify""","""Logging""",true
"""AWS CloudFront web distribution with AWS Web Application Firewall (AWS WAF) service disabled""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""API protection""",true
"""AWS CloudFront web distribution with default SSL certificate""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Data protection""",true
"""AWS CloudFront origin protocol policy does not enforce HTTPS-only""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Secure network configuration""",true
"""AWS CloudFront distribution is using insecure SSL protocols for HTTPS communication""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Secure network configuration""",true
"""AWS Cloudfront Distribution with S3 have Origin Access set to disabled""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Protect""","""Secure network configuration""",true
"""AWS CloudTrail is not enabled on the account; AWS CloudTrail logging is disabled; AWS CloudTrail is not enabled with multi trail and not capturing all management events""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Identify""","""Logging""",true
